Title (with clickable link),Speaker - Last Name,Speaker - First Name,Keyword,Date of Presentation
"<a href=""https://youtu.be/jBD_Ay-19yI"" target=""_blank"">Demystifying Dyslipidemia</a>","Smith, MD",Emily,Cardiovascular,10/22/25
"<a href=""https://youtu.be/tfj7rM5-hko"" target=""_blank"">Beyond the Cigarrette</a>","Schlossberg, MD",Aiden,Nicotine,10/22/25
"<a href=""https://youtu.be/jXK8UR3lxDw"" target=""_blank"">Emergency Contraceptive Use in Individuals with Elevated BMI or Obesity</a>","Vincenzi-Bal, MD",Alexis,"Obesity, Contraception",10/29/25
"<a href=""https://youtu.be/FeIW-hDPBI4"" target=""_blank"">Infertility for the PCP</a>","Ghant, MD",Marissa,Conception,10/29/25
"<a href=""https://youtu.be/4WKZ8rFQXtg"" target=""_blank"">Cervical Cancer Screening: The New Era of Pateint Self-Collection</a>","Young, MD",Alisa P.,Gynecology,10/29/25
"<a href=""https://youtu.be/lsYDZsbmJd8"" target=""_blank"">Practical Considerations in Menopausal Hormone Therapy Prescribing</a>","O'Dywer, MB BCh, BAO, MPH",Marie Claire,Gynecology,11/12/25
"<a href=""https://youtu.be/n2pR_78P3xc"" target=""_blank"">The Growth of Medicare Advantage Program and How it Affects our Sickest Patients</a>","Ankuda, MD, MPH, MSc",Claire K.,Insurance,11/12/25
"<a href=""https://youtu.be/3y6lkiUowo0"" target=""_blank"">Emesis our nemesis: a step beyong Zofran</a>","Pudar, MD",Julie,Nausea,12/10/25
"<a href=""https://youtu.be/CAmzlcZF5vw"" target=""_blank"">Caring for Patients with Elevated BMI</a>","Harman, MD",Megan,"Obesity, Pregnancy",12/10/25
"<a href=""https://youtu.be/KefISx4-HjI"" target=""_blank"">Moral Distress in Medicine: Implications for Professional Identity and Practice</a>","Bricely, MD",Megan,Morals,12/10/25
"<a href=""https://youtu.be/ip0VSuA_6eI"" target=""_blank"">Ambulatory Antimicrobial Stewardship: Data Review and Guidelines Update</a>","Petty, MD, Lloyd MD, Dillman PharmD","Lindsay, Elizabeth, Nicholas",Operations,1/14/26
"<a href=""https://youtu.be/rBE-PaXGm3w"" target=""_blank"">Common Breastfeeding Problems in Family Medicine</a>","Turner, MD",Katherine,Pregnancy,1/14/26
"<a href=""https://youtu.be/e5FF6ZhA0Vk"" target=""_blank"">Down Syndrome Through the Lifespan</a>","Garber, MD",Noah,Disability,1/14/26
"<a href=""https://youtu.be/uZacnqmo6YE"" target=""_blank"">2026 Resident Research Presentations</a>",2026 Residents,,Research,2/11/26
"<a href=""https://youtu.be/VVOvflxZxHc"" target=""_blank"">From Herbal Remedy to Public Health Threat: Kratom, 7-OH, and a Call to Action for Family Physicians</a>","Hutchinson, MD",Eliza,Kratom,3/11/26
"<a href=""https://youtu.be/6pkuLncWQDA"" target=""_blank"">The Complexities of Psychological Safety</a>","Eckleberry-Hunt, Ph.D",Jodie,Psychology,3/11/26
"<a href=""https://youtu.be/lbFzxa7TB-g"" target=""_blank"">Prostate Cancer Early Detection: Maximizing Benefits Minimizing Harms</a>","Heidelburgh MD, Palapattu MD, Salami MD","Joel, Ganesh, Simpa",Cancer,4/8/26
"<a href=""https://youtu.be/QFDiwszzKNk"" target=""_blank"">Preoperative Cardiac Assessment</a>","Rudy, MD",Michael,Surgery,4/8/26
"<a href=""https://youtu.be/RLYTlP4ZJz8"" target=""_blank"">Diabetic Foot Complications and Management</a>","Holmes, DPM",Crystal,Diabetes,4/8/26
"<a href=""https://youtu.be/_STb_iHyaxE"" target=""_blank"">Managing the Increasing Demand for Alzheimer's Care</a>","Storck, MD",David,Elder Care,4/22/26
"<a href=""https://youtu.be/B2JTBr8ZMn8"" target=""_blank"">Osteoporosis Risk Stratification Tools and Screening Considerations</a>","Sawhney, MD, MPH",Pearl,Screening,4/22/26
"<a href=""https://youtu.be/7TygxkUpzyU"" target=""_blank"">Managing Dyslipidemia in 2026</a>","Pinkos, DO",Jay,Dyslipidemia,4/22/26
